id,open_time,symbol,action,strike,type,expiry,security_id,entry,stop,target,lots,qty,status,exit_time,exit_price,pnl_rs,reason
NIFTY-2026-06-23T10:37:43,2026-06-23T10:37:43,NIFTY,BUY PE,23800.0,PE,2026-06-23,56355,0.05,0.03,0.08,333,24975,pending,,,,"4 agents agree, edge -0.38, conf 0.60"
